circuit_id,problem_id,number
cretesud-circuit50,cretesud-2258,1
cretesud-circuit50,cretesud-480,1 bis
cretesud-circuit50,cretesud-3258,2
cretesud-circuit50,cretesud-478,3
cretesud-circuit50,cretesud-3259,4
cretesud-circuit50,cretesud-476,5
cretesud-circuit50,cretesud-3260,6
cretesud-circuit50,cretesud-3261,7
cretesud-circuit50,cretesud-3262,8
cretesud-circuit50,cretesud-3263,9
cretesud-circuit50,cretesud-3264,10
cretesud-circuit50,cretesud-3265,11
cretesud-circuit50,cretesud-461,11 bis
cretesud-circuit50,cretesud-469,12
cretesud-circuit50,cretesud-3266,13
cretesud-circuit50,cretesud-3267,14
cretesud-circuit50,cretesud-3268,15
cretesud-circuit50,cretesud-3269,16
cretesud-circuit50,cretesud-494,17
cretesud-circuit50,cretesud-470,18
cretesud-circuit50,cretesud-466,19
cretesud-circuit50,cretesud-468,19 bis
cretesud-circuit50,cretesud-3270,20
cretesud-circuit50,cretesud-1229,21
cretesud-circuit50,cretesud-464,22
cretesud-circuit50,cretesud-509,23
cretesud-circuit50,cretesud-3271,24
cretesud-circuit50,cretesud-3272,25
cretesud-circuit50,cretesud-502,26
cretesud-circuit50,cretesud-3273,27
cretesud-circuit50,cretesud-492,28
cretesud-circuit50,cretesud-3274,29
cretesud-circuit50,cretesud-3275,30
cretesud-circuit50,cretesud-3276,31
cretesud-circuit50,cretesud-457,32
cretesud-circuit50,cretesud-303851,33
cretesud-circuit50,cretesud-526,34
vauxdecernay-circuit216,vauxdecernay-10954,D
vauxdecernay-circuit216,vauxdecernay-10955,1
vauxdecernay-circuit216,vauxdecernay-10956,2
vauxdecernay-circuit216,vauxdecernay-10957,3
vauxdecernay-circuit216,vauxdecernay-10958,4
vauxdecernay-circuit216,vauxdecernay-10959,4 bis
vauxdecernay-circuit216,vauxdecernay-10960,5
vauxdecernay-circuit216,vauxdecernay-10961,6
vauxdecernay-circuit216,vauxdecernay-10962,7
vauxdecernay-circuit216,vauxdecernay-10963,8
vauxdecernay-circuit216,vauxdecernay-10964,9
vauxdecernay-circuit216,vauxdecernay-10965,10
vauxdecernay-circuit216,vauxdecernay-10966,11
vauxdecernay-circuit216,vauxdecernay-10967,11 bis
vauxdecernay-circuit216,vauxdecernay-10968,12
vauxdecernay-circuit216,vauxdecernay-10969,13
vauxdecernay-circuit216,vauxdecernay-10970,14
vauxdecernay-circuit216,vauxdecernay-10971,15
vauxdecernay-circuit216,vauxdecernay-10972,16
vauxdecernay-circuit216,vauxdecernay-10973,17
vauxdecernay-circuit216,vauxdecernay-10974,18
vauxdecernay-circuit216,vauxdecernay-10975,19
vauxdecernay-circuit216,vauxdecernay-10976,19 bis
vauxdecernay-circuit216,vauxdecernay-10977,20
vauxdecernay-circuit216,vauxdecernay-10978,21
vauxdecernay-circuit216,vauxdecernay-10979,22
vauxdecernay-circuit216,vauxdecernay-10980,23
vauxdecernay-circuit216,vauxdecernay-10981,24
vauxdecernay-circuit216,vauxdecernay-10982,25
vauxdecernay-circuit216,vauxdecernay-10983,26
vauxdecernay-circuit216,vauxdecernay-10984,27
vauxdecernay-circuit216,vauxdecernay-10985,28
vauxdecernay-circuit216,vauxdecernay-10986,29
vauxdecernay-circuit216,vauxdecernay-10987,30
vauxdecernay-circuit216,vauxdecernay-10988,31
vauxdecernay-circuit216,vauxdecernay-10989,31 bis
vauxdecernay-circuit216,vauxdecernay-10990,32
vauxdecernay-circuit216,vauxdecernay-10991,33
vauxdecernay-circuit216,vauxdecernay-10992,33 bis
vauxdecernay-circuit216,vauxdecernay-10993,34
vauxdecernay-circuit216,vauxdecernay-10994,35
vauxdecernay-circuit216,vauxdecernay-10995,36
vauxdecernay-circuit216,vauxdecernay-10996,36 bis
vauxdecernay-circuit216,vauxdecernay-10997,36 ter
vauxdecernay-circuit216,vauxdecernay-10998,37
vauxdecernay-circuit216,vauxdecernay-10999,38
91.1-circuit106,91.1-18013,1
91.1-circuit106,91.1-18014,2
91.1-circuit106,91.1-18015,3
91.1-circuit106,91.1-18017,4
91.1-circuit106,91.1-18018,5
91.1-circuit106,91.1-18019,6
91.1-circuit106,91.1-18016,6 bis
91.1-circuit106,91.1-18020,7
91.1-circuit106,91.1-18022,8
91.1-circuit106,91.1-18024,9
91.1-circuit106,91.1-18025,10
91.1-circuit106,91.1-18028,11
91.1-circuit106,91.1-18029,12
91.1-circuit106,91.1-18030,13
91.1-circuit106,91.1-18031,14
91.1-circuit106,91.1-18033,15
91.1-circuit106,91.1-18034,16
91.1-circuit106,91.1-18035,17
91.1-circuit106,91.1-18037,18
91.1-circuit106,91.1-18038,19
91.1-circuit106,91.1-18039,20
91.1-circuit106,91.1-18041,21
91.1-circuit106,91.1-18043,22
91.1-circuit106,91.1-18045,23
91.1-circuit106,91.1-18046,24
91.1-circuit106,91.1-18047,25
91.1-circuit106,91.1-18048,26
91.1-circuit106,91.1-18050,27
91.1-circuit106,91.1-18051,28
91.1-circuit106,91.1-18053,29
91.1-circuit106,91.1-18055,30
91.1-circuit106,91.1-18057,31
91.1-circuit106,91.1-18060,32
91.1-circuit106,91.1-18061,33
91.1-circuit106,91.1-18062,34
91.1-circuit106,91.1-18064,35
91.1-circuit106,91.1-313577,36
91.1-circuit106,91.1-18066,37
91.1-circuit106,91.1-18067,38
91.1-circuit106,91.1-18069,39
91.1-circuit106,91.1-18070,40
91.1-circuit106,91.1-18071,41
91.1-circuit106,91.1-18072,42
91.1-circuit106,91.1-18075,43
91.1-circuit106,91.1-18076,44
91.1-circuit106,91.1-18077,45
91.1-circuit106,91.1-18079,46
91.1-circuit106,91.1-18080,47
91.1-circuit107,91.1-312903,1
91.1-circuit107,91.1-312904,1 bis
91.1-circuit107,91.1-312905,2
91.1-circuit107,91.1-8685,3
