id,name,url,circuit_level,circuit_order,sector_id
cretesud-circuit50,Noir ED+,https://bleau.info/cretesud/circuit50.html,ED+,17,1
vauxdecernay-circuit216,Jaune PD+,https://bleau.info/vauxdecernay/circuit216.html,PD+,5,2
91.1-circuit106,Jaune PD+,https://bleau.info/91.1/circuit106.html,PD+,5,4
91.1-circuit107,Orange AD-,https://bleau.info/91.1/circuit107.html,AD-,6,4
91.1-circuit104,Orange AD+,https://bleau.info/91.1/circuit104.html,AD+,8,4
91.1-circuit383,Bleu D,https://bleau.info/91.1/circuit383.html,D,10,4
91.1-circuit105,Rouge TD,https://bleau.info/91.1/circuit105.html,TD,13,4
elephant-circuit168,Blanc EN,https://bleau.info/elephant/circuit168.html,EN,1,5
elephant-circuit170,Orange AD,https://bleau.info/elephant/circuit170.html,AD,7,5
elephant-circuit165,Bleu D,https://bleau.info/elephant/circuit165.html,D,10,5
elephant-circuit206,Vert TD,https://bleau.info/elephant/circuit206.html,TD,13,5
elephant-circuit166,Noir ED-,https://bleau.info/elephant/circuit166.html,ED-,15,5
zinnen-circuit338,Jaune PD,https://bleau.info/zinnen/circuit338.html,PD,4,8
zinnen-circuit316,Orange AD+,https://bleau.info/zinnen/circuit316.html,AD+,8,8
zinnen-circuit83,Bleu D,https://bleau.info/zinnen/circuit83.html,D,10,8
restant-circuit390,Orange AD+,https://bleau.info/restant/circuit390.html,AD+,8,10
restant-circuit201,Rouge TD,https://bleau.info/restant/circuit201.html,TD,13,10
95.2ouest-circuit249,Orange D-,https://bleau.info/95.2ouest/circuit249.html,D-,9,11
cuvier-circuit2,Orange AD+,https://bleau.info/cuvier/circuit2.html,AD+,8,12
cuvier-circuit5,Bleu TD-,https://bleau.info/cuvier/circuit5.html,TD-,12,12
cuvier-circuit6,Rouge TD+,https://bleau.info/cuvier/circuit6.html,TD+,14,12
cuvier-circuit7,Noir ED-,https://bleau.info/cuvier/circuit7.html,ED-,15,12
cuvier-circuit8,Blanc ED+,https://bleau.info/cuvier/circuit8.html,ED+,17,12
avon-circuit204,Orange AD,https://bleau.info/avon/circuit204.html,AD,7,16
avon-circuit288,Bleu AD+,https://bleau.info/avon/circuit288.html,AD+,8,16
raymond-circuit53,Rouge TD,https://bleau.info/raymond/circuit53.html,TD,13,20
butteauxdames-circuit357,Jaune PD+,https://bleau.info/butteauxdames/circuit357.html,PD+,5,23
butteauxdames-circuit313,Orange AD+,https://bleau.info/butteauxdames/circuit313.html,AD+,8,23
butteauxdames-circuit312,Bleu D,https://bleau.info/butteauxdames/circuit312.html,D,10,23
butteauxdames-circuit305,Noir TD+,https://bleau.info/butteauxdames/circuit305.html,TD+,14,23
rochesnoires-circuit355,Orange AD,https://bleau.info/rochesnoires/circuit355.html,AD,7,27
rochesnoires-circuit134,Bleu D,https://bleau.info/rochesnoires/circuit134.html,D,10,27
rochesnoires-circuit135,Rouge TD,https://bleau.info/rochesnoires/circuit135.html,TD,13,27
jean-circuit362,Orange AD,https://bleau.info/jean/circuit362.html,AD,7,32
jean-circuit254,Bleu D+,https://bleau.info/jean/circuit254.html,D+,11,32
restantsud-circuit345,Jaune PD,https://bleau.info/restantsud/circuit345.html,PD,4,37
restantsud-circuit299,Orange AD+,https://bleau.info/restantsud/circuit299.html,AD+,8,37
ussy-circuit66,Jaune PD-,https://bleau.info/ussy/circuit66.html,PD-,3,49
ussy-circuit67,Orange AD+,https://bleau.info/ussy/circuit67.html,AD+,8,49
ussy-circuit278,Bleu D+,https://bleau.info/ussy/circuit278.html,D+,11,49
ussy-circuit68,Rouge ED,https://bleau.info/ussy/circuit68.html,ED,16,49
