id,name,url,grade,grade_order,alt_grade,first_ascent,styles,rating,sector_id
cretesud-21150,Fou Rire (aller-retour),https://bleau.info/cretesud/21150.html,9a,33,,Jean-Pierre Bouvier,"traversée,aplats",,1
cretesud-307244,Mémoires d'un Fou (retour-aller),https://bleau.info/cretesud/307244.html,8c,31,8c+,Jean-Pierre Bouvier,"traversée d-g,traversée g-d,réglettes",,1
cretesud-1310,Fou Rire,https://bleau.info/cretesud/1310.html,8b+,30,8c,Jean-Pierre Bouvier,"traversée g-d,aplats",3.5,1
cretesud-8498,Fou Rire (retour),https://bleau.info/cretesud/8498.html,8b,29,8b+,Jean-Pierre Bouvier,"traversée d-g,aplats",4,1
cretesud-311533,Franchard le Cuisinier,https://bleau.info/cretesud/311533.html,8b,29,,Charles Albert,"dévers,réglettes,aplats",,1
cretesud-524,Duel (direct),https://bleau.info/cretesud/524.html,8a+,28,,Emmanuel Ratouis,"dalle,réglettes",,1
cretesud-313934,Extra Hard / La Jolie Bouse (assis),https://bleau.info/cretesud/313934.html,8a+,28,,Nicolas Pelorson,"dévers,trous,départ assis",4,1
cretesud-531,Hale-Bopp (assis),https://bleau.info/cretesud/531.html,8a+,28,,Klem Loskot,jeté,,1
cretesud-13879,La Chose (assis),https://bleau.info/cretesud/13879.html,8a+,28,8a,Olivier Lebreton,"mur,aplats,départ assis",3.5,1
cretesud-314772,Les Visiteurs (du bas),https://bleau.info/cretesud/314772.html,8a+,28,,Charles Albert,toit,,1
cretesud-313935,So Much Swing,https://bleau.info/cretesud/313935.html,8a+,28,,"Nicolas Pelorson, Loïc Debry","dévers,départ assis",,1
cretesud-526,Duel,https://bleau.info/cretesud/526.html,8a,27,,Philippe Le Denmat,"dalle,réglettes",5,1
cretesud-23459,Évidence,https://bleau.info/cretesud/23459.html,8a,27,,"Jérôme Chaput, Lucas Ménégatti","proue,expo",4,1
cretesud-8904,Grain de Beauté,https://bleau.info/cretesud/8904.html,8a,27,8a+,"Christian Roumégoux, Thierry Guéguen",traversée d-g,3,1
cretesud-8903,Mémoires d'un Fou,https://bleau.info/cretesud/8903.html,8a,27,,Jean-Pierre Bouvier,"traversée g-d,réglettes",4.5,1
cretesud-203755,Orion (assis),https://bleau.info/cretesud/203755.html,8a,27,,Maël Bonzom,"arête,inversées,départ assis",4,1
cretesud-313236,Arête Moi Là (assis),https://bleau.info/cretesud/313236.html,7c+,26,8a,GJou,"proue,départ assis",4,1
cretesud-521,La Chose,https://bleau.info/cretesud/521.html,7c+,26,,Marc Le Menestrel,"mur,aplats",4,1
cretesud-303851,La Teigne,https://bleau.info/cretesud/303851.html,7c+,26,,Jimmy Webb,jeté,4,1
cretesud-314773,Les Visiteurs (sans le socle),https://bleau.info/cretesud/314773.html,7c+,26,8a,,toit,,1
cretesud-522,Peau de Chagrin,https://bleau.info/cretesud/522.html,7c+,26,7c,Emmanuel Ratouis,"dalle,réglettes",2.5,1
cretesud-11855,Solaris,https://bleau.info/cretesud/11855.html,7c+,26,,Manuel Marquès,"surplomb,aplats",4,1
cretesud-308482,Abandonarium,https://bleau.info/cretesud/308482.html,7c,25,,Laurent Darlot,"réglettes,inversées,départ assis",3,1
cretesud-313234,Arête Toi Là (assis),https://bleau.info/cretesud/313234.html,7c,25,7b+,"GJou, Manuel Marquès","proue,départ assis",,1
cretesud-1057,Chatterton,https://bleau.info/cretesud/1057.html,7c,25,,Fred Rouhling,jeté,3.5,1
cretesud-13531,Croissance Zéro,https://bleau.info/cretesud/13531.html,7c,25,7c+,Jean-Pierre Bouvier,"traversée g-d,réglettes",3,1
cretesud-527,Hale-Bopp,https://bleau.info/cretesud/527.html,7c,25,7c+,Fred Nicole,jeté,4.5,1
cretesud-8499,La Goutte au Nez,https://bleau.info/cretesud/8499.html,7c,25,7c+,Manuel Marquès,"arête,réglettes,départ assis",,1
cretesud-515,Olé,https://bleau.info/cretesud/515.html,7c,25,,,"surplomb,réglettes,départ assis",2.5,1
cretesud-62949,Orion (droite assis),https://bleau.info/cretesud/62949.html,7c,25,,Christophe Grelaud,"arête,départ assis",,1
cretesud-467,Paris-Chamonix,https://bleau.info/cretesud/467.html,7c,25,,Emmanuel Ratouis,"mur,dalle,réglettes",,1
cretesud-306871,Tricotage,https://bleau.info/cretesud/306871.html,7c,25,,"Maël Bonzom, Christophe Grelaud","dévers,départ assis",3,1
cretesud-1125,Cédez le Passage,https://bleau.info/cretesud/1125.html,7b+,24,7a+,Manuel Marquès,"arête,expo",,1
cretesud-310243,Fou Rire (raccourci),https://bleau.info/cretesud/310243.html,7b+,24,,,"traversée g-d,aplats,réta",4,1
cretesud-509,La Mouche,https://bleau.info/cretesud/509.html,7b+,24,7b,Jean-Pierre Bouvier,"dévers,trous,départ assis",4,1
cretesud-304154,Mos Def,https://bleau.info/cretesud/304154.html,7b+,24,7c,Quentin Bry,"dévers,fissure,départ assis",3,1
cretesud-2304,Plus Fort que le Crabe,https://bleau.info/cretesud/2304.html,7b+,24,7b,Bertrand Lemaire,"traversée g-d,surplomb,trous",3.5,1
cretesud-510,Poetic Champion Traverse (par le bas),https://bleau.info/cretesud/510.html,7b+,24,,,traversée d-g,,1
cretesud-308721,Rampe Glissante et Non Courante,https://bleau.info/cretesud/308721.html,7b+,24,,Manuel Marquès,traversée d-g,3,1
cretesud-502,Trois Hommes et un Coup Fin,https://bleau.info/cretesud/502.html,7b+,24,7b,"Didier Gérardin, Eric Létot","surplomb,expo",4.5,1
cretesud-303092,Accidental Tourist (assis),https://bleau.info/cretesud/303092.html,7b,23,,Alexis Allayaud,"dévers,départ assis",,1
cretesud-1677,Aplatcadabras,https://bleau.info/cretesud/1677.html,7b,23,,Jo Montchaussé,"traversée d-g,aplats",,1
cretesud-313235,Arête Moi Là,https://bleau.info/cretesud/313235.html,7b,23,,GJou,proue,3.5,1
cretesud-492,Barbatruc,https://bleau.info/cretesud/492.html,7b,23,,Emmanuel Ratouis,"mur,jeté",2.5,1
cretesud-23802,Frank Réta,https://bleau.info/cretesud/23802.html,7b,23,,Frank Scherrer,réta,,1
cretesud-2302,L'Homme à la Dent Creuse,https://bleau.info/cretesud/2302.html,7b,23,,Stéfan Lambert,"surplomb,jeté,départ assis",4,1
cretesud-8905,Lady of the Lake,https://bleau.info/cretesud/8905.html,7b,23,,Remmelt Dirksen,"surplomb,aplats,départ assis",2,1
cretesud-315086,Le Merluchet (assis),https://bleau.info/cretesud/315086.html,7b,23,,Carina,"mur,départ assis",,1
vauxdecernay-10979,L'Inversée,https://bleau.info/vauxdecernay/10979.html,3,7,,,dévers,2,2
cretesud-307080,Le Troufion Orque (droite),https://bleau.info/cretesud/307080.html,7b,23,,"Jimmy Zwiebel, thomas bellissent, Christophe Grelaud","proue,départ assis",3,1
cretesud-1106,Les Visiteurs,https://bleau.info/cretesud/1106.html,7b,23,,Marc Le Menestrel,proue,3.5,1
cretesud-11843,Main Courante,https://bleau.info/cretesud/11843.html,7b,23,,Manuel Marquès,"arête,expo",4.5,1
cretesud-1231,Méprise,https://bleau.info/cretesud/1231.html,7b,23,7b+,Emmanuel Ratouis,"dalle,mur,réglettes",4,1
cretesud-518,Orion,https://bleau.info/cretesud/518.html,7b,23,,Sébastien Frigault,"arête,inversées",3.5,1
cretesud-312677,Poetic Traverse,https://bleau.info/cretesud/312677.html,7b,23,,Sébastien Frigault,"traversée g-d,départ assis",3,1
cretesud-307121,Yellow Fever,https://bleau.info/cretesud/307121.html,7b,23,,Maxime Lepierrey,"dalle,réglettes,haut",4.5,1
cretesud-14336,Angle d'Attaque,https://bleau.info/cretesud/14336.html,7a+,22,,Pepito,"traversée d-g,arête,aplats",4,1
cretesud-313233,Arête Toi Là,https://bleau.info/cretesud/313233.html,7a+,22,,"GJou, Manuel Marquès",proue,,1
cretesud-476,Beatle Juice,https://bleau.info/cretesud/476.html,7a+,22,,Emmanuel Ratouis,"surplomb,trous,départ assis",4,1
cretesud-308885,C'est Dur le Matin (direct),https://bleau.info/cretesud/308885.html,7a+,22,,Manuel Marquès,"dévers,départ assis",3,1
cretesud-314140,Collé aux Ptères,https://bleau.info/cretesud/314140.html,7a+,22,7a,Justin Roupillon,"dévers,aplats,départ assis",3,1
cretesud-302216,Eifel (gauche),https://bleau.info/cretesud/302216.html,7a+,22,,Laurent Darlot,"dévers,aplats,départ assis",4,1
cretesud-478,Excalibur,https://bleau.info/cretesud/478.html,7a+,22,7a,"Philippe Le Denmat, Emmanuel Ratouis","pilier,réta,aplats",4,1
