id,name,slug,grade_range
1,Cuisinière Crête Sud,cretesud,3 - 9a
2,Les Vaux de Cernay,vauxdecernay,1 - 6a
3,Muraillette de Glandelles,glandelles,""
4,91.1,91.1,1+ - 7c+
5,Éléphant,elephant,1 - 8a+
6,Bois d'Auvers (RdC),charbonniere,2 - 7b+
7,Mondeville Cap Avancé (X),mondevillecapavance,""
8,Drei Zinnen,zinnen,2- - 8b
9,Mondeville Roche aux Dames (X),mondevillerocheauxdames,""
10,Restant du Long Rocher,restant,2 - 7c+
11,95.2 Ouest,95.2ouest,2+ - 8a+
12,Bas Cuvier,cuvier,1 - 8c+
13,Apremont Haut des Gorges,hautdesgorges,3+ - 7c+
14,Apremont Portes du Désert,portesdesert,2+ - 8b
15,Bois Rond Auberge,boisrondauberge,3 - 8b
16,Rocher d'Avon,avon,2 - 8a+
17,Rocher de Milly (RB),milly,2 - 8a
18,Cuvier Est,cuvierest,3- - 8a+
19,Gorges du Houx Oiseaux de Proie,oiseauxdeproie,4+ - 8b
20,Franchard Raymond,raymond,3+ - 8a
21,Rocher de la Petite Reine,petitereine,5- - 8a
22,Roche qui Tourne (RBs),rochequitourne,3 - 8a
23,Apremont Butte aux Dames,butteauxdames,2- - 8a
24,Rocher de Milly Est (RB),millyest,6a - 8a+
25,Bois Rond Le Moine,moine,5+ - 7b
26,La Ferté-Alais,fertealais,6b - 7c+
27,Beauvais Roches Noires,rochesnoires,2- - 8a
28,Canche aux Merciers Anarchodrome,anarchodrome,3- - 8c
29,La Mare à Piat,piat,4 - 8a+
30,Mare aux Joncs (RBs),joncs,5 - 8a
31,Rocher Fourceau Est,fourceau,6c - 7b
32,Jean des Vignes,jean,2 - 8a
33,Cuvier Bellevue,bellevue,1+ - 8b
34,Bois des Hauts de Milly,hautsmilly,4+ - 8c+
35,Rocher de Bouligny Est,boulignyest,3- - 8b
36,Rocher du Guetteur,guetteur,2+ - 7c+
37,Restant du Long Rocher Sud,restantsud,1+ - 7b+
38,Chaintréauville (X),chaintreauville,""
39,Long Boyau,longboyau,4 - 7c+
40,Bois de Montgriffard,montgriffard,""
41,Argeville (PP),argeville,5 - 5
42,Roche au Four,four,5 - 7c
43,Rocher Fourceau,FourceauOuest,4 - 8a
44,Tour Denecourt,denecourt,4+ - 7b
45,Rocher des Étroitures,etroitures,2+ - 7c
46,Chamarande Gillevoisin,gillevoisin,4+ - 7b
47,Puiselet Sablibum,sablibum,6b - 8a
48,Gorge aux Merisiers,merisiers,3 - 7b+
49,Mont Ussy,ussy,1+ - 8a
50,Haute Pierre (RdC),hautepierre,1 - 7b
51,Boissy Norgevaux (RdC),norgevaux,6b - 7c+
52,Les Béorlots Nord (RBI),beorlotsnord,""
53,Le Pendu d'Huison (PP),pendu,2 - 7c
54,Éléphant Ouest,ouest,3 - 8b
55,Mont Pivot,pivot,4+ - 8a
56,Beauvais Télégraphe,telegraphe,2- - 7c
57,Rocher de la Tortue,tortue,4+ - 7c
58,Boissy Château Renard (X),chateaurenard,""
59,La Padôle (RdC),padole,2- - 7c+
60,Rocher des Demoiselles Sud,demoisellessud,4 - 7b
61,Montrouget (RBs),montrougetouest,4- - 8b
62,Canche aux Merciers,canche,1 - 8a+
63,Grotte de Seine-Port,seineport,7a - 8a+
64,Vallée Ronde,valleeronde,4+ - 8b
65,Buthiers Piscine,y,1 - 8b+
66,Beauvais Guinguette,guinguette,4+ - 7b
67,Les Mammouths Nord,mammouthsnord,2 - 7c
68,Cuvier Ouest (RB),cuvierouest,4- - 8b+
69,Cuvier Camp de Chailly,campchailly,6b - 7c
70,Boissy Vallée de l'Église (RdC),valleeeglise,5 - 8a
71,Villetard,villetard,5 - 8a
72,Coquibus Longs Vaux (RBs),longsvaux,5 - 8c
73,Puiselet Impasse,puiseletimpasse,4 - 7a+
74,Rocher des Demoiselles Est,demoisellesest,3- - 8a+
75,Buthiers Ouest,buthiersouest,4 - 8a
76,Rocher Gréau Pyrénées,pyrenees,3 - 8a+
77,Éléphant Nord,elephantnord,3- - 8b
78,Rocher de la Reine Nord,cretenord,5- - 7c+
79,Champigny Les Croubis,croubis,""
80,Coquibus Arcades (RBs),arcades,3+ - 8b
81,Rochers d'Angennes (X),angennes,""
