id,user_response_id,problem_id,date_climbed
3,2,91.1-5971,
4,2,elephant-7867,
5,3,apremontouest-300722,
6,3,y-686,
7,3,95.2ouest-1648,
8,3,maunoury-1277,
9,3,maunoury-1274,
10,3,bellevue-301637,
11,3,cul-173,
12,3,desert-24503,
13,3,apremontouest-2188,
14,3,cretesud-476,
15,3,sabots-782,
16,3,sabots-767,
17,3,elephant-2299,
18,3,elephant-8888,
19,4,oiseaux-8479,
20,4,grandesvallees-13211,
21,4,elephant-7865,
22,4,elephant-2295,
23,4,petit-741,
24,4,desert-22186,
25,4,cul-173,
26,4,diplodocus-307015,
27,4,martin-22122,
28,4,martin-17292,
29,4,oiseaux-11859,
30,4,oiseaux-21680,
31,4,oiseaux-22116,
32,4,oiseaux-301383,
33,4,fin-1191,
34,4,fin-8981,
35,4,fin-876,
36,5,isatis-17702,
37,5,apremontouest-2410,
38,5,y-8153,
39,5,y-8150,
40,5,cuvierest-4121,
41,5,martin-6593,
42,5,jouanne-7436,
43,5,diplodocus-6180,
44,5,zinnen-16847,
45,5,zinnen-5474,
46,5,zinnen-24424,
47,5,zinnen-24425,
48,5,isatis-5295,
49,5,petit-7941,
50,5,mee-6276,
51,5,elephant-8454,
52,6,apremontouest-2188,
53,6,cuvierest-300194,
54,6,martin-17292,
55,6,chats-9029,
56,6,desert-22186,
57,7,cuvier-253,
58,7,passage-869,
59,7,95.2ouest-1648,
60,8,jean-1802,
61,8,bellevue-301637,
62,9,desert-24469,
63,9,rond-20926,
64,9,canche-8737,
65,9,canche-11986,
66,9,isatis-301686,
67,9,isatis-20430,
68,9,chats-305403,
69,9,oiseaux-15169,
70,9,sabots-782,
71,9,fin-875,
72,9,fin-17023,
